ID,DATE,SYMBOL,MULTIPLIER,ANALYST,TRADE,ENTRY,STOP,TARGET,EXIT,STOP %,STOP (P),TARGET %,TARGET (P),POINTS,RET,R/R
3618 ,03/01/2017,Gold,1,SO,BUY,1156.0000,1150.0000,1164.0000,1150.0000,0.519%,6,0.692%,8,-6,-0.519%,-1.000
6047 ,03/01/2017,SA40,1,JN,BUY,44250.0000,44000.0000,44750.0000,44150.0000,0.565%,250,1.130%,500,-100,-0.226%,-0.400
5747 ,03/01/2017,NIKKEI,1,SO,Sell,19275.0000,19350.0000,19100.0000,19350.0000,0.389%,75,0.908%,175,-75,-0.389%,-1.000
5955 ,03/01/2017,Silver,1,SO,Sell,1625.0000,1640.0000,1600.0000,1640.0000,0.923%,15,1.538%,25,-15,-0.923%,-1.000
551 ,03/01/2017,EURUSD,10000,IC,BUY,1.0477,1.0437,1.0615,1.0437,0.382%,40,1.317%,138,-40,-0.382%,-1.000
1343 ,03/01/2017,USDJPY,100,IC,BUY,117.6600,117.2600,119.9000,118.0100,0.340%,40,1.904%,224,35,0.297%,0.875
1860 ,03/01/2017,AUDUSD,10000,IC,BUY,0.7206,0.7166,0.7265,0.7234,0.555%,40,0.819%,59,28,0.389%,0.700
5159 ,03/01/2017,SP500,1,IC,BUY,2250.0000,2245.0000,2260.0000,2245.0000,0.222%,5,0.444%,10,-5,-0.222%,-1.000
4657 ,03/01/2017,DOW,1,SO,BUY,19850.0000,19780.0000,19980.0000,19780.0000,0.353%,70,0.655%,130,-70,-0.353%,-1.000
3886 ,03/01/2017,Oil,1,SO,BUY,5400.0000,5340.0000,5500.0000,5340.0000,1.111%,60,1.852%,100,-60,-1.111%,-1.000
6358 ,03/01/2017,Copper,1,SO,BUY,25100.0000,24850.0000,25500.0000,24885.0000,0.996%,250,1.594%,400,-215,-0.857%,-0.860
2412 ,03/01/2017,EURCHF,10000,JN,BUY,1.0705,1.0675,1.0735,1.0685,0.280%,30,0.280%,30,-20,-0.187%,-0.667
2127 ,03/01/2017,EURJPY,100,IC,BUY,122.7500,122.3500,123.6500,122.3500,0.326%,40,0.733%,90,-40,-0.326%,-1.000
836 ,03/01/2017,GBPUSD,10000,IC,BUY,1.2289,1.2249,1.2390,1.2249,0.325%,40,0.822%,101,-40,-0.325%,-1.000
1621 ,03/01/2017,USDCAD,10000,IC,Sell,1.3454,1.3484,1.3338,1.3454,0.223%,30,0.862%,116,0,0.000%,0.000
4901 ,04/01/2017,NASDAQ,1,JN,Sell,4940.0000,4965.0000,4900.0000,4935.0000,0.506%,25,0.810%,40,5,0.101%,0.200
1344 ,04/01/2017,USDJPY,100,IC,BUY,117.9600,117.6600,118.6500,117.6600,0.254%,30,0.585%,69,-30,-0.254%,-1.000
552 ,04/01/2017,EURUSD,10000,IC,Sell,1.0440,1.0480,1.0270,1.0480,0.383%,40,1.628%,170,-40,-0.383%,-1.000
2951 ,04/01/2017,GBPJPY,100,JN,BUY,144.3000,143.7000,145.1000,143.7000,0.416%,60,0.554%,80,-60,-0.416%,-1.000
6212 ,04/01/2017,GBPAUD,10000,SO,Sell,1.6934,1.6984,1.6830,1.6830,0.295%,50,0.614%,104,104,0.614%,2.080
4658 ,04/01/2017,DOW,1,SO,Sell,19890.0000,19950.0000,19800.0000,19950.0000,0.302%,60,0.452%,90,-60,-0.302%,-1.000
3361 ,04/01/2017,EURSEK,1000,JN,Sell,9.5470,9.5605,9.5270,9.5270,0.141%,13.5,0.209%,20,20,0.209%,1.481
